"","Name","Classification","Taxon ID","Assembly","Accession","Variation database","Regulation database","Whole genome alignments","Other alignments","In peptide compara","In pan-taxonomic compara"
"","Leptinotarsa decemlineata (Colorado potato beetle, Imidocloprid resistant) - GCA_000500325.2","Coleoptera","7539","Ldec_2.0","GCA_000500325.2","-","-","-","","","-"
"","Leptotrombidium deliense","Chelicerata","299467","LdelU1","GCA_003675905.1","-","-","-","","","-"
"","Limulus polyphemus (Atlantic horseshoe crab) - GCA_000517525.1","Chelicerata","6850","Limulus_polyphemus_2.1.2","GCA_000517525.1","-","-","-","","","-"
"","Linepithema humile (Argentine ant) - GCA_000217595.1","Hymenoptera","83485","Lhum_UMD_V04","GCA_000217595.1","-","-","-","","-","-"
"","Lingula anatina","Brachiopoda","7574","LinAna1.0","GCA_001039355.1","-","-","-","","",""
"","Lingula anatina (Lamp shell (Brachiopod), Amm_Jpn) - GCA_001039355.2","Brachiopoda","7574","LinAna2.0","GCA_001039355.2","-","-","-","","","-"
"","Loa loa","Nematoda","7209","Loa_loa_V3","GCA_000183805.2","-","-","-","","","-"
"","Lottia gigantea","Mollusca","225164","Lotgi1","GCA_000327385.1","-","-","-","","",""
"","Lucilia cuprina","Diptera","7375","ASM118794v1","GCA_001187945.1","-","-","","","","-"
"","Lutzomyia longipalpis","Diptera","7200","LlonJ1","GCA_000265325.1","","-","-","","","-"
"","Lytechinus variegatus (Green sea urchin, NC3) - GCA_018143015.1","Echinodermata","7654","Lvar_3.0","GCA_018143015.1","-","-","-","","","-"
"","Mayetiola destructor","Diptera","39758","Mdes_1.0","GCA_000149185.1","-","-","-","","","-"
"","Megachile rotundata (Alfalfa leafcutting bee) - GCA_000220905.1","Hymenoptera","143995","MROT_1.0","GCA_000220905.1","-","-","-","","-","-"
"","Megaselia scalaris","Diptera","36166","Msca1","GCA_000341915.1","-","-","-","","","-"
"","Melitaea cinxia","Lepidoptera","113334","MelCinx1.0","GCA_000716385.1","-","-","-","","","-"
"","Mercenaria mercenaria (Hard clam (quahog), YKG-2019) - GCA_014805675.2","Mollusca","6596","ASM1480567v1.1","GCA_014805675.2","-","-","-","","","-"
"","Mizuhopecten yessoensis (Yesso scallop, PY_sf001) - GCA_002113885.2","Mollusca","6573","GCA002113885v2","GCA_002113885.2","-","-","-","","","-"
"","Mnemiopsis leidyi","Ctenophora","27923","MneLei_Aug2011","GCA_000226015.1","-","-","-","","",""
"","Monomorium pharaonis (Pharaoh ant, MP-MQ-018) - GCA_013373865.2","Hymenoptera","307658","GCA013373865v2","GCA_013373865.2","-","-","-","","","-"
"","Musca domestica","Diptera","7370","MdomA1","GCA_000371365.1","-","-","","","","-"
"","Nasonia vitripennis (AsymCx)","Hymenoptera","7425","Nvit_psr_1.1","GCA_009193385.2","-","-","","","","-"
"","Necator americanus (PRJNA72135)","Nematoda","51031","N_americanus_v1","GCA_000507365.1","-","-","-","","","-"
"","Nematostella vectensis","Cnidaria","45351","ASM20922v1","GCA_000209225.1","-","-","-","","",""
"","Octopus bimaculoides","Mollusca","37653","PRJNA270931","GCA_001194135.1","-","-","-","","",""
"","Octopus bimaculoides (Octopus, UCB-OBI-ISO-001) - GCA_001194135.1","Mollusca","37653","Octopus_bimaculoides_v2_0","GCA_001194135.1","-","-","-","","","-"
"","Octopus sinensis (East Asian common octopus) - GCA_006345805.1","Mollusca","2607531","GCA006345805v1","GCA_006345805.1","-","-","-","","","-"
"","Onchocerca volvulus (PRJEB513)","Nematoda","6282","ASM49940v2","GCA_000499405.2","-","-","-","","","-"
"","Onthophagus taurus (Dung beetle) - GCA_000648695.2","Coleoptera","166361","Otau_2.0","GCA_000648695.2","-","-","-","","-","-"
"","Ooceraea biroi (Clonal raider ant, clonal line C1) - GCA_003672135.1","Hymenoptera","2015173","Obir_v5.4","GCA_003672135.1","-","-","-","","","-"
"","Orbicella faveolata (Mountainous star coral, FL) - GCA_002042975.1","Cnidaria","48498","ofav_dov_v1","GCA_002042975.1","-","-","-","","","-"
"","Orchesella cincta","Metazoa","48709","ASM171814v1","GCA_001718145.1","-","-","-","-","","-"
"","Orussus abietinus (Parasitic wood wasp, OABI.00-Male) - GCA_000612105.2","Hymenoptera","222816","Oabi_2.0","GCA_000612105.2","-","-","-","","","-"
"","Owenia fusiformis (Segmented worms) - GCA_903813345.1","Annelida","6347","GCA903813345v1","GCA_903813345.1","-","-","-","","","-"
"","Parasteatoda tepidariorum (Goettingen) - GCA_000365465.3","Chelicerata","114398","Ptep_3.0","GCA_000365465.3","-","-","-","","","-"
"","Patiria miniata (Bat star starfish, m_02_andy) - GCA_015706575.1","Echinodermata","46514","GCA015706575v1","GCA_015706575.1","-","-","-","","","-"
"","Pediculus humanus","Phthiraptera","121224","PhumU2","GCA_000006295.1","-","-","-","","",""
"","Penaeus chinensis (Fleshy prawn) - GCA_019202785.2","Crustacea","139456","GCA019202785v2","GCA_019202785.2","-","-","-","","-","-"
"","Penaeus japonicus (Kuruma shrimp, Ginoza2017) - GCA_017312705.1","Crustacea","27405","Mj_TUMSAT_v1.0","GCA_017312705.1","-","-","-","","","-"
"","Penaeus monodon (SGIC_2016) - GCA_015228065.1","Crustacea","6687","NSTDA_Pmon_1","GCA_015228065.1","-","-","-","","","-"
"","Penaeus vannamei (Pacific white shrimp) - GCA_003789085.1","Crustacea","6689","GCA003789085v1","GCA_003789085.1","-","-","-","","","-"
"","Phlebotomus papatasi","Diptera","29031","PpapI1","GCA_000262795.1","","-","-","","","-"
