"","Name","Classification","Taxon ID","Assembly","Accession","Variation database","Regulation database","Whole genome alignments","Other alignments","In peptide compara","In pan-taxonomic compara"
"","Leptomonas pyrrhocoris str. H10 (GCA_001293395.1)","Eukaryota","157538","ASM129339v1","GCA_001293395.1","-","-","-","-","","-"
"","Leptomonas seymouri str. ATCC 30220 (GCA_001299535.1)","Eukaryota","5684","ASM129953v1","GCA_001299535.1","-","-","-","-","","-"
"","Monosiga brevicollis MX1 (GCA_000002865.1)","Eukaryota","431895","V1.0","GCA_000002865.1","-","-","-","-","",""
"","Naegleria gruberi str. NEG-M (GCA_000004985.1)","Eukaryota","5762","V1.0","GCA_000004985.1","-","-","-","-","","-"
"","Nannochloropsis gaditana CCMP526 (GCA_000240725.1)","Stramenopiles","1093141","ASM24072v1","GCA_000240725.1","-","-","-","-","","-"
"","Nannochloropsis gaditana str. B-31 (GCA_000569095.1)","Stramenopiles","72520","NagaB31_1.0","GCA_000569095.1","-","-","-","-","-","-"
"","Nothophytophthora sp. Chile5 (GCA_001712635.2)","Stramenopiles","2483409","PfChile5v2.0","GCA_001712635.2","-","-","-","-","","-"
"","Oxytricha trifallax str. JRB310 (GCA_000295675.1)","Alveolata","1172189","oxytricha_asm_v1.1","GCA_000295675.1","-","-","-","-","-","-"
"","Oxytricha trifallax str. JRB310 (GCA_000711775.1)","Alveolata","1172189","Oxytricha_MIC_v2.0","GCA_000711775.1","-","-","-","-","","-"
"","Paramecium tetraurelia","Alveolata","5888","ASM16542v1","GCA_000165425.1","-","-","","","","-"
"","Perkinsela sp. CCAP 1560/4 (GCA_001235845.1)","Eukaryota","1314962","ASM123584v1","GCA_001235845.1","-","-","-","-","","-"
"","Perkinsus marinus ATCC 50983 str. PmCV4CB5 2B3 D4 (GCA_000006405.1)","Alveolata","423536","JCVI_PMG_1.0","GCA_000006405.1","-","-","-","-","","-"
"","Peronospora effusa (GCA_003704535.1)","Stramenopiles","542832","Peff_R14","GCA_003704535.1","-","-","-","-","","-"
"","Peronospora effusa (GCA_003843895.1)","Stramenopiles","542832","ASM384389v1","GCA_003843895.1","-","-","-","-","-","-"
"","Phaeodactylum tricornutum","Stramenopiles","556484","ASM15095v2","GCA_000150955.2","","-","","","",""
"","Phytomonas sp. isolate EM1 (GCA_000582765.1)","Eukaryota","134006","AKH_PRJEB1535_v1","GCA_000582765.1","-","-","-","-","","-"
"","Phytomonas sp. isolate Hart1 (GCA_000982615.1)","Eukaryota","134013","AKI_PRJEB1539_v1","GCA_000982615.1","-","-","-","-","","-"
"","Phytophthora cactorum str. 10300 (GCA_003287315.1)","Stramenopiles","29920","Pcac_10300_v1","GCA_003287315.1","-","-","-","-","","-"
"","Phytophthora infestans","Stramenopiles","403677","ASM14294v1","GCA_000142945.1","","-","","","",""
"","Phytophthora kernoviae","Stramenopiles","1284355","PhyKer238_432v1","GCA_000333075.1","-","-","","","","-"
