"","Name","Classification","Taxon ID","Assembly","Accession","Variation database","Regulation database","Whole genome alignments","Other alignments","In peptide compara","In pan-taxonomic compara"
"","Botrytis elliptica","Sclerotiniaceae","278938","ASM478620v1","GCA_004786205.1","-","-","-","","-","-"
"","Botrytis galanthina","Sclerotiniaceae","278940","ASM491687v1","GCA_004916875.1","-","-","-","","-","-"
"","Botrytis hyacinthi","Sclerotiniaceae","278943","ASM478624v1","GCA_004786245.1","-","-","-","","-","-"
"","Botrytis paeoniae","Sclerotiniaceae","278948","ASM478614v1","GCA_004786145.1","-","-","-","","-","-"
"","Botrytis porri","Sclerotiniaceae","87229","ASM478626v1","GCA_004786265.1","-","-","-","","-","-"
"","Botrytis tulipae","Sclerotiniaceae","87230","ASM478612v1","GCA_004786125.1","-","-","-","","-","-"
"","Brettanomyces bruxellensis","Saccharomycetales","5007","dekkera_v2","GCA_900496985.1","-","-","-","","-","-"
"","Brettanomyces bruxellensis","Saccharomycetales","5007","DEBR_UMY321v1","GCA_902155815.1","-","-","-","","-","-"
"","Brettanomyces bruxellensis AWRI1499","Saccharomycetales","1124627","AWRI1499_v1.0","GCA_000259595.1","-","-","-","","","-"
"","Brettanomyces naardenensis","Saccharomycetales","13370","BRENAR_v1","GCA_900660285.1","-","-","-","","-","-"
"","Byssochlamys spectabilis No. 5 str. Paecilomyces variotii No. 5 (NBRC109023)","Eurotiales","1356009","PVAR5_assembly01","GCA_000497085.1","-","-","-","","","-"
"","Byssochlamys spectabilis str. CBS 101075","Eurotiales","264951","Paevar1","GCA_004022145.1","-","-","-","","-","-"
"","Byssothecium circinans str. CBS 675.92","Pleosporales","147558","Bysci1","GCA_010015675.1","-","-","-","","-","-"
"","Cadophora sp. DSE1049","Helotiales","1485229","Cadsp1","GCA_003073865.1","-","-","-","","","-"
"","Calocera cornea HHB12733","Dacrymycetales","1353952","Calco1","GCA_001632435.1","-","-","-","","","-"
"","Calocera viscosa TUFC12733","Dacrymycetales","1330018","Calvi1","GCA_001630345.1","-","-","-","","","-"
"","Candida albicans","Saccharomycetales","237561","GCA000182965v3","GCA_000182965.3","-","-","-","","","-"
"","Candida albicans 12C","Saccharomycetales","1094981","Cand_albi_12C_V2","GCA_000773845.1","-","-","-","","-","-"
"","Candida albicans 19F","Saccharomycetales","1094987","Cand_albi_19F_V2","GCA_000775445.1","-","-","-","","-","-"
"","Candida albicans Ca529L","Saccharomycetales","1325634","Cand_albi_Ca529L_V1","GCA_000691765.2","-","-","-","","-","-"
"","Candida albicans Ca6","Saccharomycetales","1165368","Cand_albi_Ca6_V2","GCA_000784695.1","-","-","-","","-","-"
"","Candida albicans GC75","Saccharomycetales","1094988","Cand_albi_GC75_V1","GCA_000773735.1","-","-","-","","-","-"
"","Candida albicans L26","Saccharomycetales","1094982","Cand_albi_L26_V2","GCA_000775455.1","-","-","-","","-","-"
